Date,Open,High,Low,Close,Adj Close,Volume
05-08-2019,40.395,40.395,38.970001,39.924999,16.385429,112888540
06-08-2019,39.365002,40.799999,39.365002,40.16,16.481876,101975850
07-08-2019,39.5,39.650002,37.584999,38.189999,15.673377,133016090
08-08-2019,37.900002,37.950001,36.060001,36.740002,15.078293,228263940
09-08-2019,37.049999,37.365002,36.084999,36.235001,14.871035,133527610
13-08-2019,36.169998,36.759998,34.535,34.869999,14.310832,147820510
14-08-2019,35.360001,37.075001,35.34,36.465,14.965428,187387690
16-08-2019,36,36.689999,35.544998,36.305,14.899765,119202110
19-08-2019,36.59,36.695,35.715,35.955002,14.756122,98849660
20-08-2019,35.970001,36.185001,35.314999,35.825001,14.702768,93637340
21-08-2019,35.700001,35.82,34.185001,34.299999,14.076901,114233780
22-08-2019,33.990002,34.695,33.040001,33.369999,13.695225,154598000
23-08-2019,33.299999,34.895,33.035,34.525002,14.169242,112101340
26-08-2019,34.639999,34.759998,32.220001,33.805,13.873752,237649990
27-08-2019,34.095001,35.470001,34.014999,35.09,14.401121,173752960
28-08-2019,35.09,35.09,33.34,33.695,13.828606,126417160
29-08-2019,33.400002,34.264999,32.860001,33.555,13.771151,134813100
30-08-2019,34.200001,34.75,33.720001,34.490002,14.15488,179722070
03-09-2019,34.099998,34.115002,32.900002,33.139999,13.600832,92206530
04-09-2019,33.139999,34.095001,32.73,33.924999,13.922998,129047100
05-09-2019,34.599998,35.200001,34.224998,34.514999,14.165137,142508850
06-09-2019,34.700001,35.785,34.285,35.540001,14.585805,115554870
09-09-2019,35.540001,36.060001,34.814999,35.380001,14.520139,143296190
11-09-2019,35.529999,36.869999,35.52,36.705002,15.063927,136500270
12-09-2019,36.880001,37.950001,36.299999,36.505001,14.981846,188468200
13-09-2019,36.700001,36.915001,35.775002,36.735001,15.07624,116222490
16-09-2019,36.200001,36.639999,35.860001,36.110001,14.819736,80643190
17-09-2019,36.119999,36.599998,34.205002,34.494999,14.156931,131984000
18-09-2019,34.799999,36.130001,34.535,35.825001,14.702768,162531840
19-09-2019,35.599998,35.599998,34.005001,34.465,14.144618,136564950
20-09-2019,34.790001,38.099998,34.41,36.855,15.125486,267647140
23-09-2019,37.759998,38.884998,36.900002,37.735001,15.486644,163931640
24-09-2019,37.799999,37.93,36.82,37.080002,15.217829,95789890
25-09-2019,36.75,36.794998,35.755001,36.205002,14.858723,91169850
26-09-2019,36.5,37.935001,36.334999,37.575001,15.420979,140661520
27-09-2019,37.299999,37.349998,35.799999,35.965,14.760227,105687770
30-09-2019,35.5,36.369999,34.560001,36.049999,14.795111,147196960
01-10-2019,36.200001,36.470001,34.41,35.154999,14.427795,125641890
03-10-2019,34.650002,34.889999,33.845001,33.959999,13.937362,121309560
04-10-2019,34.474998,34.48,33.110001,33.310001,13.6706,114452160
07-10-2019,33.485001,33.825001,32.349998,32.48,13.329964,124157800
09-10-2019,32.334999,33.799999,32.035,33.645,13.808085,147767410
10-10-2019,33.290001,33.455002,32.799999,32.994999,13.541322,115074980
11-10-2019,33.5,34.244999,33.200001,33.900002,13.91274,171588490
14-10-2019,34.575001,35.275002,34.294998,34.485001,14.152825,167239630
15-10-2019,34.505001,35.834999,33.869999,34.919998,14.331351,179722070
16-10-2019,35.380001,35.380001,34.525002,34.740002,14.257481,128143020
17-10-2019,34.599998,36.134998,34.035,35.610001,14.614532,166951580
18-10-2019,35.595001,36.279999,35.174999,35.959999,14.758173,165680360
22-10-2019,35.75,36.380001,35.299999,35.450001,14.548868,119442830
23-10-2019,35.200001,35.875,34.924999,35.619999,14.618636,93184500
24-10-2019,35.605,36.200001,35.380001,35.990002,14.770487,109734020
25-10-2019,35.630001,36.895,35.605,36.224998,14.866932,149966920
27-10-2019,36.380001,36.555,36.310001,36.5,14.979792,10820130
29-10-2019,36.555,39.970001,36.555,39.02,16.014015,251553140
30-10-2019,38.990002,39.369999,38.43,38.799999,15.923725,143714420
31-10-2019,38.889999,39.009998,37.619999,38.055,15.617973,217560230
01-11-2019,38.005001,40.290001,37.799999,39.950001,16.395693,241111950
04-11-2019,40.299999,42.169998,40.299999,40.915001,16.791733,289344340
05-11-2019,41.400002,41.790001,40.16,40.395,16.57832,208744340
06-11-2019,40.200001,40.889999,39.869999,40.445,16.598845,179351470
07-11-2019,40.400002,40.884998,38.880001,40.310001,16.543438,407007600
08-11-2019,40.150002,40.619999,39.509998,39.794998,16.332077,214235200
11-11-2019,39.549999,40.375,39.400002,40.145,16.475719,135739740
13-11-2019,40.09,40.884998,39.27,39.790001,16.330027,175114690
14-11-2019,39.610001,39.869999,38.939999,39.195,16.085836,108694250
15-11-2019,39.200001,40.299999,39.060001,39.450001,16.190489,118132590
18-11-2019,39.639999,41.259998,39.599998,41.005001,16.828669,189065280
19-11-2019,41.400002,41.485001,40,40.174999,16.488031,142650830
20-11-2019,40.099998,40.849998,39.73,39.869999,16.362858,122556020
21-11-2019,39.900002,39.915001,38.325001,38.509998,15.804707,102085540
22-11-2019,38.599998,40.279999,38.310001,40,16.416212,172719490
25-11-2019,40.525002,42.099998,40.299999,41.950001,17.216501,276124580
26-11-2019,42.5,42.93,41.674999,42.415001,17.407339,282763120
27-11-2019,42.529999,42.700001,41.919998,42.134998,17.292427,109846790
28-11-2019,42.220001,43.43,42.215,43.209999,17.733614,157660730
29-11-2019,42.744999,42.950001,42.110001,42.75,17.544827,126319560
02-12-2019,42.494999,42.695,41.900002,42.084999,17.271908,83371710
03-12-2019,41.799999,41.855,39.639999,39.965,16.401846,168706560
04-12-2019,39.279999,41.145,38.900002,40.93,16.797892,261132490
05-12-2019,41.105,41.185001,39.709999,39.98,16.408005,111108840
06-12-2019,40.145,40.75,39.384998,40.325001,16.549593,169310820
09-12-2019,40.299999,41.18,40.195,40.669998,16.691181,123184520
10-12-2019,40.5,40.959999,40.02,40.205002,16.500345,93495850
